Year, Month, DHI, DNI, Temperature
2018,1,24700.0,106978.0,-1392.0999999999995
2018,2,25192.0,77928.0,2046.0000000000007
2018,3,44251.0,130762.0,1842.1999999999982
2018,4,55550.0,122666.0,5413.800000000003
2018,5,63931.0,126719.0,12634.900000000018
2018,6,68214.0,163462.0,14773.700000000004
2018,7,68544.0,184650.0,18110.100000000006
2018,8,62876.0,152694.0,18242.8
2018,9,46274.0,86890.0,15362.3
2018,10,36556.0,106829.0,10135.999999999998
2018,11,23348.0,80443.0,4176.0
2018,12,20157.0,82347.0,2188.4999999999995
