Year, Month, DHI, DNI, Temperature
2018,1,26188.0,88337.0,-1741.4000000000024
2018,2,26273.0,67262.0,1791.7000000000007
2018,3,43160.0,123620.0,1761.5000000000005
2018,4,55050.0,126143.0,5153.100000000002
2018,5,61932.0,133941.0,12552.499999999993
2018,6,69226.0,158268.0,14615.100000000019
2018,7,70175.0,172707.0,18184.700000000015
2018,8,63087.0,150189.0,18303.099999999973
2018,9,45118.0,87441.0,15262.400000000003
2018,10,36256.0,99577.0,9988.300000000001
2018,11,23705.0,72913.0,3987.3000000000015
2018,12,20798.0,72098.0,1853.600000000002
