Year, Month, DHI, DNI, Temperature
2018,1,24459.0,104372.0,-1900.7999999999934
2018,2,25146.0,76833.0,1645.400000000001
2018,3,43188.0,128073.0,1598.3999999999992
2018,4,51983.0,126037.0,5049.399999999997
2018,5,61218.0,136454.0,12521.499999999996
2018,6,67093.0,162130.0,14545.59999999999
2018,7,69232.0,177715.0,18089.599999999984
2018,8,62077.0,153231.0,18160.800000000007
2018,9,44587.0,92223.0,15130.599999999979
2018,10,35403.0,103490.0,9807.400000000012
2018,11,22310.0,81547.0,3784.199999999999
2018,12,19249.0,84362.0,1678.5999999999997
