Year, Month, DHI, DNI, Temperature
2018,1,25708.0,89131.0,-1233.0999999999979
2018,2,25590.0,72172.0,2056.5
2018,3,42527.0,119761.0,1950.8999999999999
2018,4,53628.0,123135.0,5299.699999999998
2018,5,63113.0,129179.0,12390.600000000004
2018,6,68922.0,158073.0,14621.699999999995
2018,7,69735.0,171090.0,18102.200000000023
2018,8,63332.0,146092.0,18315.100000000006
2018,9,44913.0,83426.0,15395.40000000001
2018,10,34796.0,101576.0,10324.200000000017
2018,11,22790.0,81520.0,4407.299999999998
2018,12,19286.0,83021.0,2349.399999999998
