Year, Month, DHI, DNI, Temperature
2018,1,23698.0,107067.0,-1429.7999999999995
2018,2,25029.0,80121.0,1827.4000000000003
2018,3,42382.0,137812.0,1785.7999999999984
2018,4,52155.0,133758.0,4864.9000000000015
2018,5,61715.0,140597.0,11742.700000000012
2018,6,68028.0,167422.0,14082.999999999989
2018,7,67739.0,189229.0,17762.899999999976
2018,8,58701.0,167953.0,18109.700000000015
2018,9,44327.0,97179.0,15134.100000000004
2018,10,36424.0,107400.0,10213.1
2018,11,22382.0,85230.0,4403.4
2018,12,19667.0,86200.0,2170.7999999999997
