Year, Month, DHI, DNI, Temperature
2018,1,24619.0,103689.0,-1054.7000000000003
2018,2,25911.0,71919.0,2129.3
2018,3,42594.0,130884.0,2008.3000000000002
2018,4,55378.0,127260.0,5253.100000000001
2018,5,65031.0,130424.0,12128.100000000006
2018,6,69243.0,163854.0,14479.200000000013
2018,7,68296.0,183885.0,17966.6
2018,8,60620.0,163131.0,18274.30000000001
2018,9,45351.0,88616.0,15392.099999999986
2018,10,36856.0,105143.0,10467.599999999997
2018,11,23408.0,81798.0,4615.999999999998
2018,12,19754.0,85439.0,2542.299999999998
