Year, Month, DHI, DNI, Temperature
2018,1,24602.0,112686.0,-1845.3999999999994
2018,2,25722.0,75224.0,1718.0000000000007
2018,3,42055.0,139501.0,1689.1000000000015
2018,4,55110.0,128975.0,5113.5000000000055
2018,5,61834.0,137592.0,12578.999999999998
2018,6,67936.0,164371.0,14603.499999999998
2018,7,69397.0,176778.0,18168.700000000008
2018,8,62171.0,156023.0,18257.60000000001
2018,9,45432.0,88393.0,15209.899999999992
2018,10,35484.0,108275.0,9890.3
2018,11,22558.0,82074.0,3870.800000000003
2018,12,19667.0,85254.0,1744.5000000000002
