Year, Month, DHI, DNI, Temperature
2018,1,23315.0,111022.0,-1011.0000000000013
2018,2,26158.0,71991.0,2137.500000000002
2018,3,43270.0,132180.0,2046.2000000000003
2018,4,53982.0,130169.0,5208.600000000001
2018,5,61730.0,135276.0,12020.200000000003
2018,6,68524.0,159327.0,14408.900000000001
2018,7,68372.0,184907.0,17946.49999999995
2018,8,61642.0,155102.0,18292.199999999997
2018,9,44911.0,86354.0,15396.70000000001
2018,10,36687.0,103164.0,10532.10000000001
2018,11,22975.0,82170.0,4700.400000000001
2018,12,20137.0,81552.0,2593.499999999998
