Year, Month, DHI, DNI, Temperature
2018,1,27303.0,90606.0,-377.50000000000045
2018,2,26012.0,72482.0,2460.9999999999973
2018,3,43021.0,121329.0,2357.7
2018,4,55486.0,126830.0,5222.699999999997
2018,5,63720.0,131022.0,11484.90000000001
2018,6,68204.0,161360.0,14177.500000000011
2018,7,66304.0,190809.0,17767.299999999996
2018,8,59067.0,165223.0,18359.000000000004
2018,9,44000.0,92088.0,15540.199999999999
2018,10,36554.0,96562.0,11060.100000000002
2018,11,24614.0,69184.0,5401.899999999994
2018,12,19810.0,79982.0,3251.6999999999985
