Year, Month, DHI, DNI, Temperature
2018,1,23975.0,106849.0,-871.2000000000004
2018,2,26192.0,70148.0,2218.000000000001
2018,3,43666.0,130056.0,2126.3
2018,4,54375.0,130949.0,5242.399999999993
2018,5,63036.0,132760.0,11963.100000000006
2018,6,69218.0,158353.0,14401.600000000013
2018,7,69009.0,183165.0,17941.89999999998
2018,8,62127.0,156715.0,18332.399999999998
2018,9,45265.0,84101.0,15451.599999999991
2018,10,36347.0,103469.0,10650.400000000009
2018,11,23315.0,78930.0,4848.100000000002
2018,12,20338.0,78498.0,2736.6999999999975
