Year, Month, DHI, DNI, Temperature
2018,1,25718.0,103791.0,-1372.5000000000007
2018,2,25533.0,74470.0,2029.3999999999992
2018,3,42882.0,126397.0,1872.4999999999989
2018,4,56497.0,121137.0,5393.099999999997
2018,5,64377.0,122735.0,12637.70000000001
2018,6,71182.0,151199.0,14772.200000000004
2018,7,74644.0,162918.0,18164.899999999983
2018,8,66846.0,131265.0,18291.500000000004
2018,9,47216.0,74612.0,15384.100000000006
2018,10,34887.0,103002.0,10172.999999999998
2018,11,23389.0,77940.0,4204.9000000000015
2018,12,19538.0,84618.0,2200.0000000000005
