Year, Month, DHI, DNI, Temperature
2018,1,26135.0,96324.0,-1400.1
2018,2,25878.0,73578.0,1949.7000000000019
2018,3,43003.0,128826.0,1853.2000000000003
2018,4,55134.0,124649.0,5248.100000000001
2018,5,62554.0,131602.0,12454.700000000008
2018,6,67587.0,159737.0,14620.499999999987
2018,7,70526.0,168974.0,18109.50000000001
2018,8,63537.0,145133.0,18273.999999999964
2018,9,44769.0,85036.0,15329.500000000007
2018,10,35129.0,101128.0,10183.300000000007
2018,11,22836.0,80576.0,4233.400000000005
2018,12,19211.0,83383.0,2174.399999999999
