Year, Month, DHI, DNI, Temperature
2018,1,26463.0,99791.0,-359.99999999999955
2018,2,26405.0,72153.0,2461.299999999997
2018,3,43496.0,121321.0,2356.400000000001
2018,4,56635.0,125193.0,5205.099999999996
2018,5,63760.0,132195.0,11438.500000000002
2018,6,68723.0,161393.0,14146.800000000008
2018,7,66565.0,192354.0,17740.900000000005
2018,8,59495.0,165491.0,18347.200000000004
2018,9,45121.0,91035.0,15531.399999999998
2018,10,37191.0,98543.0,11069.599999999999
2018,11,24071.0,74151.0,5423.3
2018,12,19485.0,84658.0,3269.1999999999975
