Year, Month, DHI, DNI, Temperature
2018,1,26835.0,102624.0,-1363.099999999999
2018,2,24738.0,80699.0,2133.7999999999997
2018,3,45058.0,121190.0,1868.5
2018,4,55448.0,123229.0,5538.800000000005
2018,5,63733.0,126768.0,12782.299999999996
2018,6,69319.0,159024.0,14891.299999999997
2018,7,69740.0,181235.0,18139.8
2018,8,63098.0,148689.0,18265.700000000008
2018,9,46007.0,85121.0,15417.699999999997
2018,10,36977.0,107733.0,10143.200000000004
2018,11,23104.0,83044.0,4166.199999999996
2018,12,20165.0,82843.0,2212.299999999999
