Year, Month, DHI, DNI, Temperature
2018,1,24232.0,114722.0,-1956.0000000000039
2018,2,25535.0,75509.0,1631.4000000000026
2018,3,43169.0,129478.0,1596.899999999999
2018,4,55236.0,123349.0,5051.899999999997
2018,5,62838.0,135250.0,12565.299999999992
2018,6,68678.0,161340.0,14565.400000000009
2018,7,69651.0,176376.0,18124.29999999999
2018,8,62686.0,155041.0,18184.100000000006
2018,9,45456.0,89195.0,15135.69999999998
2018,10,35730.0,107873.0,9782.499999999995
2018,11,22736.0,83215.0,3748.6
2018,12,19610.0,84857.0,1628.5999999999992
