Year, Month, DHI, DNI, Temperature
2018,1,22826.0,112735.0,-1270.1000000000026
2018,2,26194.0,72693.0,1961.3999999999999
2018,3,42780.0,134599.0,1876.9
2018,4,53628.0,129740.0,5070.699999999997
2018,5,62441.0,136018.0,11981.50000000001
2018,6,69158.0,160214.0,14317.899999999992
2018,7,70243.0,179426.0,17869.100000000002
2018,8,61694.0,157374.0,18182.0
2018,9,44810.0,91087.0,15255.000000000004
2018,10,36856.0,104291.0,10316.599999999997
2018,11,22658.0,81969.0,4462.800000000001
2018,12,20127.0,81627.0,2336.5000000000005
