Year, Month, DHI, DNI, Temperature
2018,1,23993.0,108686.0,-2120.299999999997
2018,2,24998.0,78582.0,1532.1999999999994
2018,3,43593.0,126426.0,1504.6999999999987
2018,4,52525.0,125316.0,4978.499999999997
2018,5,62191.0,137240.0,12561.599999999988
2018,6,69017.0,162798.0,14521.900000000003
2018,7,68560.0,179885.0,18092.500000000004
2018,8,61454.0,156962.0,18131.300000000003
2018,9,44976.0,91386.0,15058.899999999994
2018,10,36173.0,106112.0,9655.400000000009
2018,11,22661.0,82297.0,3603.1000000000004
2018,12,19484.0,86482.0,1468.2000000000007
