Year, Month, DHI, DNI, Temperature
2018,1,26459.0,93943.0,-1735.7000000000032
2018,2,26139.0,69966.0,1787.400000000001
2018,3,43254.0,126902.0,1753.999999999999
2018,4,56016.0,125540.0,5153.6
2018,5,62431.0,133701.0,12557.599999999997
2018,6,69195.0,158887.0,14616.200000000013
2018,7,71273.0,169774.0,18179.100000000017
2018,8,64081.0,149526.0,18293.299999999977
2018,9,46097.0,84359.0,15258.600000000004
2018,10,36016.0,100168.0,9982.599999999997
2018,11,23689.0,74084.0,3980.3
2018,12,20520.0,74181.0,1853.3000000000018
