Year, Month, DHI, DNI, Temperature
2018,1,24793.0,111705.0,-2109.1000000000004
2018,2,25891.0,76070.0,1570.9000000000005
2018,3,41799.0,139834.0,1580.0999999999997
2018,4,55039.0,129796.0,4997.300000000001
2018,5,61973.0,137600.0,12575.600000000006
2018,6,67958.0,166781.0,14533.89999999999
2018,7,69178.0,177620.0,18159.000000000007
2018,8,60670.0,158590.0,18223.899999999994
2018,9,45917.0,86611.0,15118.099999999999
2018,10,35688.0,105730.0,9722.799999999994
2018,11,22611.0,80623.0,3681.900000000003
2018,12,19435.0,84944.0,1492.7
