Year, Month, DHI, DNI, Temperature
2018,1,24440.0,105355.0,-1268.8999999999996
2018,2,27152.0,68347.0,1985.9000000000012
2018,3,43853.0,130082.0,1901.0999999999995
2018,4,55146.0,127782.0,5137.300000000005
2018,5,63679.0,131568.0,12116.499999999984
2018,6,71303.0,154880.0,14412.599999999975
2018,7,73869.0,169131.0,17951.70000000001
2018,8,65124.0,144121.0,18231.800000000017
2018,9,46637.0,83105.0,15300.40000000001
2018,10,37552.0,100011.0,10316.40000000002
2018,11,23350.0,80548.0,4439.799999999996
2018,12,20253.0,80404.0,2331.2
