Year, Month, DHI, DNI, Temperature
2018,1,24526.0,117239.0,-1401.4999999999993
2018,2,25378.0,78679.0,2122.6
2018,3,44025.0,131345.0,1851.599999999999
2018,4,57244.0,124032.0,5552.000000000003
2018,5,63274.0,128723.0,12829.89999999999
2018,6,69653.0,158215.0,14920.399999999996
2018,7,71229.0,177551.0,18153.099999999988
2018,8,63833.0,145592.0,18263.09999999998
2018,9,46361.0,85171.0,15410.999999999995
2018,10,37564.0,105318.0,10107.300000000012
2018,11,22857.0,85757.0,4120.799999999994
2018,12,19942.0,83390.0,2174.4
