Year, Month, DHI, DNI, Temperature
2018,1,26077.0,102707.0,-345.5000000000003
2018,2,26290.0,73083.0,2469.399999999998
2018,3,44209.0,127483.0,2363.300000000001
2018,4,55786.0,129759.0,5207.399999999995
2018,5,61866.0,138190.0,11431.8
2018,6,68176.0,165695.0,14144.700000000006
2018,7,65878.0,197815.0,17742.000000000004
2018,8,58075.0,171295.0,18350.60000000001
2018,9,44703.0,94744.0,15535.899999999996
2018,10,37794.0,102653.0,11083.600000000008
2018,11,23052.0,79716.0,5437.999999999993
2018,12,19329.0,86826.0,3282.8999999999996
