Year,Month,Day,Hour,Minute,DHI,DNI,Wind Speed,Temperature
2018,1,1,0,30,0,0,5.9,-11.5
2018,1,1,1,30,0,0,5.9,-11.600000000000001
2018,1,1,2,30,0,0,5.800000000000001,-11.700000000000001
2018,1,1,3,30,0,0,5.800000000000001,-11.8
2018,1,1,4,30,0,0,5.800000000000001,-11.9
2018,1,1,5,30,0,0,5.800000000000001,-12.0
2018,1,1,6,30,0,0,5.800000000000001,-12.200000000000001
2018,1,1,7,30,12,105,5.9,-11.8
2018,1,1,8,30,61,243,6.1000000000000005,-10.4
2018,1,1,9,30,96,420,6.2,-9.200000000000001
2018,1,1,10,30,139,391,6.1000000000000005,-8.3
2018,1,1,11,30,165,370,6.1000000000000005,-7.5
2018,1,1,12,30,163,376,6.0,-6.9
2018,1,1,13,30,137,399,6.0,-6.6000000000000005
2018,1,1,14,30,94,424,5.9,-6.5
2018,1,1,15,30,61,225,5.7,-6.9
2018,1,1,16,30,11,86,5.6000000000000005,-7.6000000000000005
2018,1,1,17,30,0,0,5.5,-8.1
2018,1,1,18,30,0,0,5.5,-8.3
2018,1,1,19,30,0,0,5.300000000000001,-8.5
2018,1,1,20,30,0,0,5.5,-8.4
2018,1,1,21,30,0,0,6.0,-8.200000000000001
2018,1,1,22,30,0,0,6.5,-8.1
2018,1,1,23,30,0,0,6.9,-8.200000000000001
2018,1,2,0,30,0,0,7.2,-8.3
2018,1,2,1,30,0,0,7.5,-8.3
2018,1,2,2,30,0,0,7.6000000000000005,-8.3
2018,1,2,3,30,0,0,7.4,-8.3
2018,1,2,4,30,0,0,7.0,-8.6
2018,1,2,5,30,0,0,6.6000000000000005,-9.0
2018,1,2,6,30,0,0,6.2,-9.200000000000001
2018,1,2,7,30,12,85,5.800000000000001,-8.700000000000001
2018,1,2,8,30,61,248,5.6000000000000005,-7.300000000000001
2018,1,2,9,30,99,394,5.5,-6.0
2018,1,2,10,30,136,410,5.2,-5.1000000000000005
2018,1,2,11,30,166,372,5.1000000000000005,-4.3
2018,1,2,12,30,164,380,5.2,-3.7
2018,1,2,13,30,139,394,5.300000000000001,-3.2
2018,1,2,14,30,96,415,5.300000000000001,-3.2
2018,1,2,15,30,59,298,5.300000000000001,-3.9000000000000004
2018,1,2,16,30,12,84,5.5,-4.800000000000001
2018,1,2,17,30,0,0,5.800000000000001,-5.4
2018,1,2,18,30,0,0,5.9,-5.7
2018,1,2,19,30,0,0,6.1000000000000005,-6.2
2018,1,2,20,30,0,0,6.2,-6.4
2018,1,2,21,30,0,0,6.2,-6.7
2018,1,2,22,30,0,0,6.1000000000000005,-7.0
2018,1,2,23,30,0,0,6.0,-7.300000000000001
2018,1,3,0,30,0,0,5.7,-7.6000000000000005
2018,1,3,1,30,0,0,5.5,-7.9
2018,1,3,2,30,0,0,5.2,-8.1
2018,1,3,3,30,0,0,4.9,-8.200000000000001
2018,1,3,4,30,0,0,4.5,-8.3
2018,1,3,5,30,0,0,4.0,-8.5
2018,1,3,6,30,0,0,3.5,-8.6
2018,1,3,7,30,12,121,3.0,-8.1
2018,1,3,8,30,59,284,2.6,-6.800000000000001
2018,1,3,9,30,97,410,2.3000000000000003,-5.2
2018,1,3,10,30,136,413,2.1,-3.9000000000000004
2018,1,3,11,30,156,421,1.9000000000000001,-3.1
2018,1,3,12,30,171,331,1.8,-2.4000000000000004
2018,1,3,13,30,136,414,1.7000000000000002,-1.9000000000000001
2018,1,3,14,30,111,308,1.1,-1.9000000000000001
2018,1,3,15,30,63,189,0.9,-2.5
2018,1,3,16,30,12,90,1.4000000000000001,-3.1
2018,1,3,17,30,0,0,1.5,-2.9000000000000004
2018,1,3,18,30,0,0,1.3,-2.6
2018,1,3,19,30,0,0,2.1,-2.6
2018,1,3,20,30,0,0,2.6,-2.3000000000000003
2018,1,3,21,30,0,0,2.9000000000000004,-1.8
2018,1,3,22,30,0,0,3.5,-1.4000000000000001
2018,1,3,23,30,0,0,4.7,-1.1
2018,1,4,0,30,0,0,6.0,-1.0
2018,1,4,1,30,0,0,7.1000000000000005,-1.5
2018,1,4,2,30,0,0,7.9,-2.1
2018,1,4,3,30,0,0,8.700000000000001,-2.6
2018,1,4,4,30,0,0,9.700000000000001,-3.2
2018,1,4,5,30,0,0,10.8,-3.4000000000000004
2018,1,4,6,30,0,0,11.700000000000001,-3.3000000000000003
2018,1,4,7,30,9,40,12.4,-3.5
2018,1,4,8,30,49,0,13.200000000000001,-3.7
2018,1,4,9,30,63,1,13.700000000000001,-3.8000000000000003
2018,1,4,10,30,82,2,13.8,-3.8000000000000003
2018,1,4,11,30,115,9,13.700000000000001,-3.8000000000000003
2018,1,4,12,30,128,35,13.4,-3.7
2018,1,4,13,30,115,33,12.9,-3.6
2018,1,4,14,30,100,58,12.4,-3.5
2018,1,4,15,30,43,4,12.0,-3.4000000000000004
2018,1,4,16,30,7,18,11.5,-3.3000000000000003
2018,1,4,17,30,0,0,11.100000000000001,-3.3000000000000003
2018,1,4,18,30,0,0,10.9,-3.4000000000000004
2018,1,4,19,30,0,0,10.5,-3.8000000000000003
2018,1,4,20,30,0,0,10.200000000000001,-4.2
2018,1,4,21,30,0,0,10.0,-4.800000000000001
2018,1,4,22,30,0,0,9.9,-5.6000000000000005
2018,1,4,23,30,0,0,9.9,-6.5
2018,1,5,0,30,0,0,9.9,-7.2
2018,1,5,1,30,0,0,9.9,-7.9
2018,1,5,2,30,0,0,9.8,-8.5
2018,1,5,3,30,0,0,9.700000000000001,-9.1
2018,1,5,4,30,0,0,9.600000000000001,-9.600000000000001
2018,1,5,5,30,0,0,9.5,-10.100000000000001
2018,1,5,6,30,0,0,9.5,-10.4
2018,1,5,7,30,13,93,9.5,-10.5
2018,1,5,8,30,66,102,9.600000000000001,-10.4
2018,1,5,9,30,120,219,9.8,-10.100000000000001
2018,1,5,10,30,167,192,9.9,-9.700000000000001
2018,1,5,11,30,194,150,10.100000000000001,-9.3
2018,1,5,12,30,194,172,10.200000000000001,-9.1
2018,1,5,13,30,160,236,10.3,-9.0
2018,1,5,14,30,122,199,10.3,-8.9
2018,1,5,15,30,69,68,10.3,-9.0
2018,1,5,16,30,9,54,10.200000000000001,-9.1
2018,1,5,17,30,0,0,10.100000000000001,-9.1
2018,1,5,18,30,0,0,10.0,-9.1
2018,1,5,19,30,0,0,9.700000000000001,-9.4
2018,1,5,20,30,0,0,9.5,-9.5
2018,1,5,21,30,0,0,9.3,-9.8
2018,1,5,22,30,0,0,9.200000000000001,-10.200000000000001
2018,1,5,23,30,0,0,9.0,-10.600000000000001
2018,1,6,0,30,0,0,8.8,-10.9
2018,1,6,1,30,0,0,8.5,-11.0
2018,1,6,2,30,0,0,8.3,-11.200000000000001
2018,1,6,3,30,0,0,8.1,-11.3
2018,1,6,4,30,0,0,8.1,-11.200000000000001
2018,1,6,5,30,0,0,8.0,-10.9
2018,1,6,6,30,0,0,8.1,-10.700000000000001
2018,1,6,7,30,13,92,8.3,-10.5
2018,1,6,8,30,63,91,8.5,-10.200000000000001
2018,1,6,9,30,120,209,8.5,-10.0
2018,1,6,10,30,163,239,8.4,-9.8
2018,1,6,11,30,193,192,8.4,-9.600000000000001
2018,1,6,12,30,193,203,8.5,-9.4
2018,1,6,13,30,166,232,8.5,-9.3
2018,1,6,14,30,117,277,8.5,-9.5
2018,1,6,15,30,70,131,8.4,-9.9
2018,1,6,16,30,11,16,8.3,-10.4
2018,1,6,17,30,0,0,8.200000000000001,-10.700000000000001
2018,1,6,18,30,0,0,8.1,-10.9
2018,1,6,19,30,0,0,8.0,-11.200000000000001
2018,1,6,20,30,0,0,7.6000000000000005,-11.5
2018,1,6,21,30,0,0,7.2,-12.0
2018,1,6,22,30,0,0,6.9,-12.4
2018,1,6,23,30,0,0,6.800000000000001,-12.700000000000001
2018,1,7,0,30,0,0,6.800000000000001,-12.8
2018,1,7,1,30,0,0,6.7,-12.9
2018,1,7,2,30,0,0,6.5,-13.100000000000001
2018,1,7,3,30,0,0,6.1000000000000005,-13.4
2018,1,7,4,30,0,0,5.6000000000000005,-13.9
2018,1,7,5,30,0,0,5.2,-14.4
2018,1,7,6,30,0,0,4.7,-14.5
2018,1,7,7,30,11,122,4.1000000000000005,-14.100000000000001
2018,1,7,8,30,67,78,3.4000000000000004,-12.8
2018,1,7,9,30,116,265,2.7,-11.3
2018,1,7,10,30,163,239,2.3000000000000003,-10.3
2018,1,7,11,30,194,194,2.0,-9.600000000000001
2018,1,7,12,30,194,197,2.1,-8.8
2018,1,7,13,30,167,231,2.5,-8.0
2018,1,7,14,30,116,287,3.0,-7.4
2018,1,7,15,30,71,123,3.7,-7.7
2018,1,7,16,30,11,24,4.5,-8.3
2018,1,7,17,30,0,0,5.1000000000000005,-8.3
2018,1,7,18,30,0,0,5.300000000000001,-8.0
2018,1,7,19,30,0,0,5.9,-7.9
2018,1,7,20,30,0,0,6.1000000000000005,-7.9
2018,1,7,21,30,0,0,6.4,-7.7
2018,1,7,22,30,0,0,6.800000000000001,-7.4
2018,1,7,23,30,0,0,7.1000000000000005,-7.2
2018,1,8,0,30,0,0,7.1000000000000005,-7.0
2018,1,8,1,30,0,0,6.9,-6.800000000000001
2018,1,8,2,30,0,0,6.7,-6.6000000000000005
2018,1,8,3,30,0,0,6.4,-6.6000000000000005
2018,1,8,4,30,0,0,6.1000000000000005,-6.7
2018,1,8,5,30,0,0,5.9,-6.6000000000000005
2018,1,8,6,30,0,0,5.7,-6.1000000000000005
2018,1,8,7,30,8,45,5.7,-5.0
2018,1,8,8,30,37,0,6.1000000000000005,-3.8000000000000003
2018,1,8,9,30,93,40,6.6000000000000005,-2.9000000000000004
2018,1,8,10,30,160,181,6.800000000000001,-2.1
2018,1,8,11,30,173,44,6.800000000000001,-1.5
2018,1,8,12,30,150,25,6.800000000000001,-1.0
2018,1,8,13,30,120,7,6.800000000000001,-0.6000000000000001
2018,1,8,14,30,111,117,6.7,-0.5
2018,1,8,15,30,47,15,6.7,-0.4
2018,1,8,16,30,12,1,6.6000000000000005,-0.4
2018,1,8,17,30,0,0,6.5,-0.5
2018,1,8,18,30,0,0,6.300000000000001,-0.5
2018,1,8,19,30,0,0,6.2,-0.4
2018,1,8,20,30,0,0,6.0,-0.2
2018,1,8,21,30,0,0,5.7,-0.1
2018,1,8,22,30,0,0,5.300000000000001,-0.1
2018,1,8,23,30,0,0,5.1000000000000005,-0.30000000000000004
2018,1,9,0,30,0,0,5.0,-0.7000000000000001
2018,1,9,1,30,0,0,5.0,-1.2000000000000002
2018,1,9,2,30,0,0,5.0,-1.7000000000000002
2018,1,9,3,30,0,0,5.0,-1.9000000000000001
2018,1,9,4,30,0,0,5.1000000000000005,-1.8
2018,1,9,5,30,0,0,5.1000000000000005,-1.6
2018,1,9,6,30,0,0,5.2,-1.3
2018,1,9,7,30,12,60,5.300000000000001,-0.8
2018,1,9,8,30,66,150,5.2,0.2
2018,1,9,9,30,95,472,5.0,1.3
2018,1,9,10,30,127,489,4.5,2.1
2018,1,9,11,30,185,290,4.3,2.7
2018,1,9,12,30,186,294,4.3,3.3000000000000003
2018,1,9,13,30,135,466,4.4,3.7
2018,1,9,14,30,107,394,4.5,3.8000000000000003
2018,1,9,15,30,63,352,4.800000000000001,3.5
2018,1,9,16,30,14,21,4.9,2.6
2018,1,9,17,30,0,0,4.9,1.4000000000000001
2018,1,9,18,30,0,0,5.0,0.9
2018,1,9,19,30,0,0,4.9,-0.2
2018,1,9,20,30,0,0,4.7,-0.8
2018,1,9,21,30,0,0,4.4,-1.4000000000000001
2018,1,9,22,30,0,0,4.1000000000000005,-1.8
2018,1,9,23,30,0,0,3.7,-2.1
2018,1,10,0,30,0,0,3.5,-2.2
2018,1,10,1,30,0,0,3.3000000000000003,-2.4000000000000004
2018,1,10,2,30,0,0,3.3000000000000003,-2.6
2018,1,10,3,30,0,0,3.2,-2.7
2018,1,10,4,30,0,0,3.1,-2.8000000000000003
2018,1,10,5,30,0,0,3.0,-2.9000000000000004
2018,1,10,6,30,0,0,3.0,-3.1
2018,1,10,7,30,12,85,2.9000000000000004,-2.7
2018,1,10,8,30,68,140,2.6,-1.1
2018,1,10,9,30,95,460,2.1,0.6000000000000001
2018,1,10,10,30,138,419,1.6,1.5
2018,1,10,11,30,165,397,1.3,1.9000000000000001
