Year,Month,Day,Hour,Minute,DHI,DNI,Wind Speed,Temperature
2018,1,1,0,30,0,0,4.2,-12.9
2018,1,1,1,30,0,0,4.2,-13.0
2018,1,1,2,30,0,0,4.2,-13.200000000000001
2018,1,1,3,30,0,0,4.2,-13.3
2018,1,1,4,30,0,0,4.2,-13.5
2018,1,1,5,30,0,0,4.2,-13.600000000000001
2018,1,1,6,30,0,0,4.2,-13.8
2018,1,1,7,30,13,181,4.2,-13.3
2018,1,1,8,30,45,564,4.5,-11.600000000000001
2018,1,1,9,30,61,751,4.6000000000000005,-10.100000000000001
2018,1,1,10,30,78,794,4.6000000000000005,-9.0
2018,1,1,11,30,86,814,4.6000000000000005,-8.1
2018,1,1,12,30,90,786,4.6000000000000005,-7.5
2018,1,1,13,30,76,804,4.5,-7.2
2018,1,1,14,30,59,776,4.4,-7.300000000000001
2018,1,1,15,30,42,647,4.2,-7.9
2018,1,1,16,30,13,184,4.0,-8.700000000000001
2018,1,1,17,30,0,0,4.0,-9.4
2018,1,1,18,30,0,0,3.9000000000000004,-9.700000000000001
2018,1,1,19,30,0,0,3.8000000000000003,-10.100000000000001
2018,1,1,20,30,0,0,4.0,-9.9
2018,1,1,21,30,0,0,4.3,-9.700000000000001
2018,1,1,22,30,0,0,4.7,-9.8
2018,1,1,23,30,0,0,5.0,-9.9
2018,1,2,0,30,0,0,5.2,-10.0
2018,1,2,1,30,0,0,5.4,-9.9
2018,1,2,2,30,0,0,5.5,-9.8
2018,1,2,3,30,0,0,5.300000000000001,-9.700000000000001
2018,1,2,4,30,0,0,5.0,-9.9
2018,1,2,5,30,0,0,4.7,-10.3
2018,1,2,6,30,0,0,4.4,-10.600000000000001
2018,1,2,7,30,14,152,4.2,-10.0
2018,1,2,8,30,45,631,4.1000000000000005,-8.4
2018,1,2,9,30,72,658,4.0,-6.800000000000001
2018,1,2,10,30,93,686,3.9000000000000004,-5.6000000000000005
2018,1,2,11,30,103,718,3.8000000000000003,-4.7
2018,1,2,12,30,105,704,3.9000000000000004,-4.0
2018,1,2,13,30,90,706,4.0,-3.6
2018,1,2,14,30,61,743,4.0,-3.7
2018,1,2,15,30,42,628,3.9000000000000004,-4.7
2018,1,2,16,30,13,174,4.0,-6.0
