Year,Month,Day,Hour,Minute,DHI,DNI,Wind Speed,Temperature
2018,1,1,0,30,0,0,3.2,-13.3
2018,1,1,1,30,0,0,3.1,-13.4
2018,1,1,2,30,0,0,3.1,-13.600000000000001
2018,1,1,3,30,0,0,3.1,-13.8
2018,1,1,4,30,0,0,3.1,-13.9
2018,1,1,5,30,0,0,3.1,-14.100000000000001
2018,1,1,6,30,0,0,3.1,-14.3
2018,1,1,7,30,10,87,3.2,-13.700000000000001
2018,1,1,8,30,53,408,3.4000000000000004,-12.0
2018,1,1,9,30,67,724,3.6,-10.4
2018,1,1,10,30,68,917,3.6,-9.200000000000001
2018,1,1,11,30,77,915,3.6,-8.3
2018,1,1,12,30,71,947,3.6,-7.7
2018,1,1,13,30,69,903,3.5,-7.4
2018,1,1,14,30,59,844,3.4000000000000004,-7.5
2018,1,1,15,30,45,656,3.2,-8.200000000000001
2018,1,1,16,30,11,123,3.0,-9.200000000000001
2018,1,1,17,30,0,0,2.9000000000000004,-10.0
2018,1,1,18,30,0,0,2.9000000000000004,-10.3
2018,1,1,19,30,0,0,2.9000000000000004,-10.600000000000001
2018,1,1,20,30,0,0,3.0,-10.3
2018,1,1,21,30,0,0,3.3000000000000003,-10.100000000000001
2018,1,1,22,30,0,0,3.5,-10.3
2018,1,1,23,30,0,0,3.7,-10.4
2018,1,2,0,30,0,0,3.9000000000000004,-10.4
2018,1,2,1,30,0,0,4.0,-10.4
2018,1,2,2,30,0,0,4.1000000000000005,-10.3
2018,1,2,3,30,0,0,4.0,-10.200000000000001
2018,1,2,4,30,0,0,3.7,-10.4
2018,1,2,5,30,0,0,3.4000000000000004,-10.8
2018,1,2,6,30,0,0,3.2,-11.100000000000001
2018,1,2,7,30,11,94,3.1,-10.5
2018,1,2,8,30,53,423,3.1,-8.8
2018,1,2,9,30,80,572,3.1,-7.1000000000000005
2018,1,2,10,30,95,683,3.1,-5.800000000000001
2018,1,2,11,30,89,800,3.0,-4.9
2018,1,2,12,30,72,891,3.1,-4.2
2018,1,2,13,30,66,872,3.2,-3.8000000000000003
2018,1,2,14,30,55,808,3.1,-4.0
2018,1,2,15,30,41,655,3.0,-5.0
2018,1,2,16,30,14,179,3.0,-6.4
2018,1,2,17,30,0,0,3.2,-7.2
2018,1,2,18,30,0,0,3.2,-7.5
2018,1,2,19,30,0,0,3.3000000000000003,-8.3
2018,1,2,20,30,0,0,3.4000000000000004,-8.700000000000001
2018,1,2,21,30,0,0,3.3000000000000003,-9.0
2018,1,2,22,30,0,0,3.3000000000000003,-9.4
2018,1,2,23,30,0,0,3.2,-9.8
2018,1,3,0,30,0,0,3.1,-10.200000000000001
