Year,Month,Day,Hour,Minute,DHI,DNI,Wind Speed,Temperature
2018,1,1,0,30,0,0,5.6000000000000005,-11.9
2018,1,1,1,30,0,0,5.5,-12.0
2018,1,1,2,30,0,0,5.5,-12.100000000000001
2018,1,1,3,30,0,0,5.5,-12.3
2018,1,1,4,30,0,0,5.5,-12.4
2018,1,1,5,30,0,0,5.5,-12.5
2018,1,1,6,30,0,0,5.5,-12.700000000000001
2018,1,1,7,30,11,87,5.6000000000000005,-12.200000000000001
2018,1,1,8,30,50,430,5.800000000000001,-10.8
2018,1,1,9,30,55,714,6.0,-9.4
2018,1,1,10,30,68,748,5.9,-8.5
2018,1,1,11,30,75,768,5.800000000000001,-7.7
2018,1,1,12,30,77,760,5.800000000000001,-7.1000000000000005
2018,1,1,13,30,70,736,5.800000000000001,-6.800000000000001
2018,1,1,14,30,50,742,5.6000000000000005,-6.7
2018,1,1,15,30,43,499,5.4,-7.1000000000000005
2018,1,1,16,30,9,95,5.300000000000001,-7.800000000000001
2018,1,1,17,30,0,0,5.2,-8.3
2018,1,1,18,30,0,0,5.2,-8.4
2018,1,1,19,30,0,0,5.0,-8.8
2018,1,1,20,30,0,0,5.2,-8.8
2018,1,1,21,30,0,0,5.7,-8.5
2018,1,1,22,30,0,0,6.1000000000000005,-8.5
2018,1,1,23,30,0,0,6.5,-8.6
2018,1,2,0,30,0,0,6.800000000000001,-8.700000000000001
2018,1,2,1,30,0,0,7.0,-8.700000000000001
2018,1,2,2,30,0,0,7.2,-8.6
2018,1,2,3,30,0,0,7.0,-8.6
2018,1,2,4,30,0,0,6.6000000000000005,-8.9
2018,1,2,5,30,0,0,6.2,-9.200000000000001
2018,1,2,6,30,0,0,5.800000000000001,-9.5
2018,1,2,7,30,11,77,5.5,-9.1
2018,1,2,8,30,50,421,5.300000000000001,-7.6000000000000005
2018,1,2,9,30,56,691,5.2,-6.300000000000001
2018,1,2,10,30,79,697,5.0,-5.300000000000001
2018,1,2,11,30,91,702,4.9,-4.5
2018,1,2,12,30,90,703,4.9,-3.8000000000000003
2018,1,2,13,30,82,678,5.0,-3.3000000000000003
2018,1,2,14,30,52,720,5.1000000000000005,-3.3000000000000003
2018,1,2,15,30,44,486,5.1000000000000005,-4.0
2018,1,2,16,30,10,92,5.2,-5.0
2018,1,2,17,30,0,0,5.5,-5.6000000000000005
2018,1,2,18,30,0,0,5.6000000000000005,-5.800000000000001
2018,1,2,19,30,0,0,5.800000000000001,-6.4
2018,1,2,20,30,0,0,5.800000000000001,-6.6000000000000005
2018,1,2,21,30,0,0,5.800000000000001,-6.9
2018,1,2,22,30,0,0,5.800000000000001,-7.2
2018,1,2,23,30,0,0,5.6000000000000005,-7.6000000000000005
2018,1,3,0,30,0,0,5.4,-7.9
2018,1,3,1,30,0,0,5.2,-8.200000000000001
2018,1,3,2,30,0,0,4.9,-8.4
2018,1,3,3,30,0,0,4.6000000000000005,-8.5
2018,1,3,4,30,0,0,4.2,-8.700000000000001
2018,1,3,5,30,0,0,3.8000000000000003,-8.9
2018,1,3,6,30,0,0,3.3000000000000003,-9.0
2018,1,3,7,30,11,91,2.8000000000000003,-8.4
2018,1,3,8,30,49,436,2.5,-7.0
2018,1,3,9,30,53,728,2.2,-5.4
2018,1,3,10,30,80,695,2.0,-4.1000000000000005
2018,1,3,11,30,79,754,1.9000000000000001,-3.3000000000000003
2018,1,3,12,30,101,660,1.7000000000000002,-2.6
2018,1,3,13,30,79,695,1.6,-2.1
2018,1,3,14,30,74,571,1.1,-2.0
2018,1,3,15,30,52,418,0.9,-2.7
2018,1,3,16,30,10,64,1.3,-3.4000000000000004
2018,1,3,17,30,0,0,1.4000000000000001,-3.2
2018,1,3,18,30,0,0,1.3,-2.9000000000000004
2018,1,3,19,30,0,0,2.0,-2.9000000000000004
2018,1,3,20,30,0,0,2.5,-2.6
2018,1,3,21,30,0,0,2.7,-2.1
2018,1,3,22,30,0,0,3.3000000000000003,-1.7000000000000002
2018,1,3,23,30,0,0,4.4,-1.3
2018,1,4,0,30,0,0,5.7,-1.2000000000000002
2018,1,4,1,30,0,0,6.7,-1.6
2018,1,4,2,30,0,0,7.4,-2.2
2018,1,4,3,30,0,0,8.3,-2.7
2018,1,4,4,30,0,0,9.3,-3.2
2018,1,4,5,30,0,0,10.3,-3.4000000000000004
2018,1,4,6,30,0,0,11.200000000000001,-3.4000000000000004
2018,1,4,7,30,5,18,11.9,-3.6
2018,1,4,8,30,22,0,12.600000000000001,-3.8000000000000003
2018,1,4,9,30,30,2,13.100000000000001,-3.9000000000000004
2018,1,4,10,30,77,9,13.200000000000001,-3.9000000000000004
2018,1,4,11,30,113,53,13.200000000000001,-3.9000000000000004
2018,1,4,12,30,115,89,12.9,-3.8000000000000003
2018,1,4,13,30,120,94,12.4,-3.7
2018,1,4,14,30,117,143,12.0,-3.6
2018,1,4,15,30,63,67,11.5,-3.6
2018,1,4,16,30,9,37,11.0,-3.5
2018,1,4,17,30,0,0,10.600000000000001,-3.4000000000000004
2018,1,4,18,30,0,0,10.4,-3.5
2018,1,4,19,30,0,0,10.0,-3.8000000000000003
2018,1,4,20,30,0,0,9.8,-4.2
2018,1,4,21,30,0,0,9.600000000000001,-4.800000000000001
2018,1,4,22,30,0,0,9.5,-5.6000000000000005
2018,1,4,23,30,0,0,9.4,-6.5
2018,1,5,0,30,0,0,9.4,-7.300000000000001
2018,1,5,1,30,0,0,9.4,-7.9
2018,1,5,2,30,0,0,9.4,-8.6
2018,1,5,3,30,0,0,9.3,-9.200000000000001
2018,1,5,4,30,0,0,9.1,-9.8
2018,1,5,5,30,0,0,9.1,-10.200000000000001
2018,1,5,6,30,0,0,9.0,-10.600000000000001
2018,1,5,7,30,10,70,9.1,-10.700000000000001
2018,1,5,8,30,51,416,9.200000000000001,-10.600000000000001
2018,1,5,9,30,61,664,9.3,-10.3
2018,1,5,10,30,64,786,9.5,-9.9
2018,1,5,11,30,65,840,9.600000000000001,-9.5
2018,1,5,12,30,65,833,9.8,-9.3
2018,1,5,13,30,62,796,9.9,-9.200000000000001
2018,1,5,14,30,58,698,9.9,-9.200000000000001
