Year,Month,Day,Hour,Minute,DHI,DNI,Wind Speed,Temperature
2018,1,1,0,30,0,0,1.9000000000000001,-15.200000000000001
2018,1,1,1,30,0,0,1.9000000000000001,-15.3
2018,1,1,2,30,0,0,1.9000000000000001,-15.5
2018,1,1,3,30,0,0,1.9000000000000001,-15.600000000000001
2018,1,1,4,30,0,0,1.9000000000000001,-15.8
2018,1,1,5,30,0,0,1.9000000000000001,-16.1
2018,1,1,6,30,0,0,1.9000000000000001,-16.3
2018,1,1,7,30,11,118,1.9000000000000001,-15.5
2018,1,1,8,30,46,504,2.2,-13.4
2018,1,1,9,30,61,735,2.5,-11.5
2018,1,1,10,30,91,696,2.6,-10.200000000000001
2018,1,1,11,30,112,674,2.6,-9.200000000000001
2018,1,1,12,30,112,670,2.7,-8.6
2018,1,1,13,30,91,708,2.6,-8.4
2018,1,1,14,30,67,685,2.4000000000000004,-8.6
2018,1,1,15,30,45,540,2.1,-9.200000000000001
2018,1,1,16,30,9,100,1.8,-10.0
2018,1,1,17,30,0,0,1.7000000000000002,-10.600000000000001
2018,1,1,18,30,0,0,1.7000000000000002,-10.8
2018,1,1,19,30,0,0,1.6,-11.9
2018,1,1,20,30,0,0,1.6,-12.0
2018,1,1,21,30,0,0,1.8,-11.8
2018,1,1,22,30,0,0,1.9000000000000001,-11.9
2018,1,1,23,30,0,0,2.0,-12.100000000000001
2018,1,2,0,30,0,0,2.1,-12.100000000000001
2018,1,2,1,30,0,0,2.2,-11.9
2018,1,2,2,30,0,0,2.3000000000000003,-11.5
2018,1,2,3,30,0,0,2.2,-11.200000000000001
2018,1,2,4,30,0,0,2.1,-11.5
2018,1,2,5,30,0,0,1.9000000000000001,-12.0
2018,1,2,6,30,0,0,1.8,-12.5
2018,1,2,7,30,12,110,1.7000000000000002,-12.0
2018,1,2,8,30,49,499,1.8,-10.0
2018,1,2,9,30,68,683,2.0,-8.1
2018,1,2,10,30,98,673,2.0,-6.6000000000000005
2018,1,2,11,30,98,749,2.0,-5.5
2018,1,2,12,30,101,736,2.1,-4.7
2018,1,2,13,30,109,572,2.1,-4.2
2018,1,2,14,30,79,564,2.0,-4.3
2018,1,2,15,30,45,564,1.8,-5.6000000000000005
2018,1,2,16,30,11,106,1.7000000000000002,-7.300000000000001
2018,1,2,17,30,0,0,1.7000000000000002,-8.3
2018,1,2,18,30,0,0,1.8,-8.6
2018,1,2,19,30,0,0,1.8,-9.600000000000001
2018,1,2,20,30,0,0,1.8,-10.200000000000001
2018,1,2,21,30,0,0,1.8,-10.700000000000001
2018,1,2,22,30,0,0,1.8,-11.200000000000001
2018,1,2,23,30,0,0,1.7000000000000002,-11.700000000000001
2018,1,3,0,30,0,0,1.6,-12.200000000000001
2018,1,3,1,30,0,0,1.6,-12.600000000000001
2018,1,3,2,30,0,0,1.6,-12.8
2018,1,3,3,30,0,0,1.5,-12.9
2018,1,3,4,30,0,0,1.4000000000000001,-13.0
2018,1,3,5,30,0,0,1.2000000000000002,-13.200000000000001
