Year,Month,Day,Hour,Minute,DHI,DNI,Wind Speed,Temperature
2018,1,1,0,30,0,0,4.9,-12.600000000000001
2018,1,1,1,30,0,0,4.9,-12.700000000000001
2018,1,1,2,30,0,0,4.9,-12.8
2018,1,1,3,30,0,0,4.800000000000001,-13.0
2018,1,1,4,30,0,0,4.800000000000001,-13.100000000000001
2018,1,1,5,30,0,0,4.800000000000001,-13.3
2018,1,1,6,30,0,0,4.9,-13.5
2018,1,1,7,30,10,89,4.9,-12.9
2018,1,1,8,30,49,428,5.1000000000000005,-11.4
2018,1,1,9,30,55,760,5.300000000000001,-9.9
2018,1,1,10,30,73,736,5.2,-8.8
2018,1,1,11,30,84,734,5.2,-8.0
2018,1,1,12,30,85,731,5.2,-7.4
2018,1,1,13,30,76,711,5.1000000000000005,-7.1000000000000005
2018,1,1,14,30,53,759,5.0,-7.1000000000000005
2018,1,1,15,30,43,517,4.800000000000001,-7.6000000000000005
2018,1,1,16,30,10,100,4.7,-8.5
2018,1,1,17,30,0,0,4.6000000000000005,-9.1
2018,1,1,18,30,0,0,4.6000000000000005,-9.4
2018,1,1,19,30,0,0,4.4,-9.700000000000001
2018,1,1,20,30,0,0,4.6000000000000005,-9.5
2018,1,1,21,30,0,0,5.0,-9.4
2018,1,1,22,30,0,0,5.4,-9.4
2018,1,1,23,30,0,0,5.800000000000001,-9.5
2018,1,2,0,30,0,0,6.0,-9.600000000000001
2018,1,2,1,30,0,0,6.2,-9.600000000000001
2018,1,2,2,30,0,0,6.300000000000001,-9.4
2018,1,2,3,30,0,0,6.2,-9.4
2018,1,2,4,30,0,0,5.800000000000001,-9.600000000000001
2018,1,2,5,30,0,0,5.5,-10.0
2018,1,2,6,30,0,0,5.1000000000000005,-10.3
2018,1,2,7,30,10,72,4.9,-9.700000000000001
2018,1,2,8,30,52,385,4.7,-8.200000000000001
2018,1,2,9,30,60,677,4.6000000000000005,-6.6000000000000005
2018,1,2,10,30,94,629,4.4,-5.5
2018,1,2,11,30,122,572,4.3,-4.6000000000000005
2018,1,2,12,30,142,480,4.4,-3.9000000000000004
2018,1,2,13,30,108,556,4.5,-3.5
2018,1,2,14,30,59,680,4.5,-3.6
2018,1,2,15,30,43,612,4.5,-4.5
2018,1,2,16,30,13,144,4.6000000000000005,-5.7
2018,1,2,17,30,0,0,4.9,-6.5
2018,1,2,18,30,0,0,5.0,-6.800000000000001
2018,1,2,19,30,0,0,5.1000000000000005,-7.5
2018,1,2,20,30,0,0,5.2,-7.800000000000001
2018,1,2,21,30,0,0,5.2,-8.1
2018,1,2,22,30,0,0,5.1000000000000005,-8.4
2018,1,2,23,30,0,0,5.0,-8.8
2018,1,3,0,30,0,0,4.800000000000001,-9.200000000000001
2018,1,3,1,30,0,0,4.6000000000000005,-9.5
2018,1,3,2,30,0,0,4.4,-9.700000000000001
2018,1,3,3,30,0,0,4.1000000000000005,-9.8
2018,1,3,4,30,0,0,3.7,-10.0
2018,1,3,5,30,0,0,3.3000000000000003,-10.200000000000001
2018,1,3,6,30,0,0,2.9000000000000004,-10.3
2018,1,3,7,30,10,60,2.5,-9.600000000000001
2018,1,3,8,30,60,266,2.2,-7.9
2018,1,3,9,30,75,577,1.9000000000000001,-5.9
2018,1,3,10,30,121,495,1.8,-4.4
2018,1,3,11,30,121,593,1.7000000000000002,-3.4000000000000004
2018,1,3,12,30,149,449,1.5,-2.6
2018,1,3,13,30,105,578,1.5,-2.1
2018,1,3,14,30,102,379,1.0,-2.2
2018,1,3,15,30,51,450,0.8,-3.3000000000000003
2018,1,3,16,30,11,77,1.3,-4.3
2018,1,3,17,30,0,0,1.3,-4.2
2018,1,3,18,30,0,0,1.2000000000000002,-3.9000000000000004
2018,1,3,19,30,0,0,1.9000000000000001,-4.1000000000000005
2018,1,3,20,30,0,0,2.2,-3.9000000000000004
2018,1,3,21,30,0,0,2.4000000000000004,-3.4000000000000004
2018,1,3,22,30,0,0,2.9000000000000004,-3.0
2018,1,3,23,30,0,0,3.9000000000000004,-2.6
2018,1,4,0,30,0,0,5.1000000000000005,-2.5
2018,1,4,1,30,0,0,5.9,-2.9000000000000004
2018,1,4,2,30,0,0,6.6000000000000005,-3.4000000000000004
2018,1,4,3,30,0,0,7.4,-3.8000000000000003
2018,1,4,4,30,0,0,8.200000000000001,-4.1000000000000005
2018,1,4,5,30,0,0,9.200000000000001,-4.2
2018,1,4,6,30,0,0,10.0,-4.0
2018,1,4,7,30,4,18,10.600000000000001,-4.1000000000000005
2018,1,4,8,30,13,0,11.3,-4.2
2018,1,4,9,30,27,0,11.700000000000001,-4.3
2018,1,4,10,30,23,0,11.8,-4.3
2018,1,4,11,30,75,6,11.700000000000001,-4.2
2018,1,4,12,30,97,13,11.5,-4.2
2018,1,4,13,30,92,15,11.0,-4.1000000000000005
2018,1,4,14,30,55,11,10.600000000000001,-4.1000000000000005
2018,1,4,15,30,19,0,10.200000000000001,-4.0
2018,1,4,16,30,6,6,9.8,-4.0
2018,1,4,17,30,0,0,9.4,-4.0
2018,1,4,18,30,0,0,9.3,-4.1000000000000005
2018,1,4,19,30,0,0,8.9,-4.5
2018,1,4,20,30,0,0,8.700000000000001,-5.0
2018,1,4,21,30,0,0,8.5,-5.6000000000000005
2018,1,4,22,30,0,0,8.4,-6.5
2018,1,4,23,30,0,0,8.4,-7.4
2018,1,5,0,30,0,0,8.4,-8.1
2018,1,5,1,30,0,0,8.4,-8.8
2018,1,5,2,30,0,0,8.3,-9.4
2018,1,5,3,30,0,0,8.200000000000001,-10.0
2018,1,5,4,30,0,0,8.1,-10.5
2018,1,5,5,30,0,0,8.1,-11.0
2018,1,5,6,30,0,0,8.0,-11.3
2018,1,5,7,30,9,40,8.1,-11.4
2018,1,5,8,30,61,164,8.200000000000001,-11.200000000000001
2018,1,5,9,30,97,410,8.3,-10.8
2018,1,5,10,30,138,375,8.5,-10.4
2018,1,5,11,30,181,259,8.6,-10.0
2018,1,5,12,30,190,211,8.700000000000001,-9.8
2018,1,5,13,30,150,317,8.8,-9.700000000000001
2018,1,5,14,30,95,452,8.8,-9.700000000000001
2018,1,5,15,30,61,275,8.8,-9.8
2018,1,5,16,30,10,40,8.700000000000001,-10.0
2018,1,5,17,30,0,0,8.6,-10.0
2018,1,5,18,30,0,0,8.5,-10.0
2018,1,5,19,30,0,0,8.3,-10.3
2018,1,5,20,30,0,0,8.0,-10.5
2018,1,5,21,30,0,0,7.9,-10.8
2018,1,5,22,30,0,0,7.800000000000001,-11.200000000000001
2018,1,5,23,30,0,0,7.6000000000000005,-11.600000000000001
2018,1,6,0,30,0,0,7.4,-11.9
2018,1,6,1,30,0,0,7.2,-12.100000000000001
2018,1,6,2,30,0,0,7.0,-12.200000000000001
2018,1,6,3,30,0,0,6.800000000000001,-12.200000000000001
2018,1,6,4,30,0,0,6.800000000000001,-12.100000000000001
2018,1,6,5,30,0,0,6.800000000000001,-11.9
2018,1,6,6,30,0,0,6.800000000000001,-11.700000000000001
2018,1,6,7,30,9,45,7.0,-11.4
2018,1,6,8,30,58,273,7.2,-11.100000000000001
2018,1,6,9,30,88,497,7.300000000000001,-10.9
2018,1,6,10,30,122,486,7.2,-10.600000000000001
2018,1,6,11,30,156,411,7.2,-10.3
2018,1,6,12,30,168,361,7.300000000000001,-10.100000000000001
2018,1,6,13,30,136,415,7.300000000000001,-10.100000000000001
2018,1,6,14,30,89,519,7.300000000000001,-10.3
2018,1,6,15,30,60,304,7.2,-10.700000000000001
2018,1,6,16,30,13,73,7.0,-11.3
2018,1,6,17,30,0,0,6.9,-11.700000000000001
